time,x,y,z,yaw,yaw_estimated
0.000,-0.000,0.000,-0.000,0.000,0.000
0.100,0.322,-0.003,-1.131,0.007,-0.155
0.200,0.612,0.002,-2.163,0.004,-0.307
0.300,0.904,0.006,-3.193,0.013,-0.494
0.400,1.228,0.005,-4.325,0.033,-0.672
0.500,1.521,0.001,-5.352,0.045,-0.856
0.600,1.841,-0.005,-6.481,0.060,-1.049
0.700,2.128,-0.013,-7.511,0.068,0.488
0.800,2.408,-0.022,-8.550,0.072,2.181
0.900,2.713,-0.030,-9.693,0.084,3.718
1.000,3.002,-0.033,-10.724,0.092,5.232
1.100,3.315,-0.029,-11.749,0.090,5.070
1.200,3.645,-0.030,-12.869,0.091,4.882
1.300,3.951,-0.030,-13.885,0.085,6.614
1.400,4.250,-0.029,-14.896,0.096,8.870
1.500,4.576,-0.029,-16.004,0.104,11.468
1.600,4.869,-0.031,-17.006,0.115,11.241
1.700,5.162,-0.034,-18.005,0.123,10.981
1.800,5.483,-0.037,-19.099,0.128,10.722
1.900,5.771,-0.043,-20.090,0.124,12.402
2.000,6.057,-0.049,-21.075,0.143,14.358
2.100,6.367,-0.049,-22.158,0.135,16.884
2.200,6.652,-0.045,-23.141,0.125,19.523
2.300,6.936,-0.048,-24.121,0.128,21.567
2.400,7.247,-0.051,-25.198,0.120,23.513
2.500,7.571,-0.058,-26.176,0.131,25.044
2.600,7.855,-0.048,-27.163,0.168,26.619
2.700,8.170,-0.033,-28.249,0.193,28.190
2.800,8.454,-0.022,-29.238,0.225,30.427
2.900,8.784,-0.004,-30.243,0.241,32.906
3.000,9.092,0.004,-31.344,0.292,35.399
3.100,9.366,0.009,-32.342,0.339,37.326
3.200,9.676,0.007,-33.440,0.405,39.503
3.300,9.989,0.025,-34.454,0.447,42.004
3.400,10.292,0.032,-35.468,0.482,44.409
3.500,10.626,0.040,-36.590,0.463,46.807
3.600,10.929,0.040,-37.608,0.392,48.928
3.700,11.233,0.038,-38.628,0.289,48.585
3.800,11.570,0.028,-39.749,0.151,48.272
3.900,11.873,0.005,-40.763,0.005,47.948
4.000,12.176,-0.015,-41.784,-0.129,49.687
4.100,12.515,-0.025,-42.921,-0.284,51.762
4.200,12.855,-0.049,-43.941,-0.423,54.190
4.300,13.195,-0.066,-44.969,-0.556,56.153
4.400,13.575,-0.073,-46.110,-0.696,58.029
4.500,13.919,-0.079,-47.154,-0.806,60.007
4.600,14.267,-0.083,-48.199,-0.883,59.721
4.700,14.654,-0.078,-49.349,-0.986,61.465
4.800,15.001,-0.066,-50.401,-1.037,63.000
4.900,15.345,-0.054,-51.455,-1.075,64.582
5.000,15.714,-0.050,-52.615,-1.123,66.203
5.100,16.050,-0.039,-53.669,-1.180,68.392
5.200,16.383,-0.027,-54.723,-1.230,70.376
5.300,16.729,-0.015,-55.887,-1.234,72.160
5.400,17.046,-0.004,-56.948,-1.220,74.396
5.500,17.384,0.015,-58.111,-1.178,76.258
5.600,17.702,0.027,-59.168,-1.112,78.623
5.700,18.023,0.045,-60.226,-1.019,80.837
5.800,18.341,0.070,-61.287,-0.920,83.066
5.900,18.703,0.092,-62.451,-0.819,85.953
6.000,19.028,0.115,-63.511,-0.736,88.701
6.100,19.352,0.127,-64.570,-0.646,91.788
6.200,19.697,0.135,-65.746,-0.535,94.342
6.300,20.017,0.142,-66.815,-0.426,97.219
6.400,20.336,0.141,-67.885,-0.325,99.419
6.500,20.685,0.145,-69.066,-0.215,99.144
6.600,21.000,0.150,-70.142,-0.107,98.852
6.700,21.310,0.150,-71.219,-0.022,98.568
6.800,21.646,0.152,-72.399,0.074,100.426
6.900,21.940,0.159,-73.475,0.160,101.999
7.000,22.235,0.160,-74.551,0.247,103.762
7.100,22.556,0.156,-75.738,0.347,105.758
7.200,22.852,0.150,-76.819,0.421,107.862
7.300,23.171,0.138,-78.012,0.523,110.140
7.400,23.468,0.133,-79.097,0.614,112.596
7.500,23.768,0.129,-80.181,0.718,115.463
7.600,24.104,0.124,-81.373,0.839,118.660
7.700,24.406,0.117,-82.460,0.946,121.348
7.800,24.711,0.107,-83.549,1.046,123.242
7.900,25.048,0.097,-84.752,1.152,124.953
8.000,25.357,0.092,-85.847,1.226,126.880
8.100,25.661,0.086,-86.944,1.261,129.175
8.200,25.996,0.080,-88.149,1.275,131.363
8.300,26.292,0.062,-89.240,1.286,131.105
8.400,26.588,0.047,-90.328,1.276,132.860
8.500,26.915,0.029,-91.522,1.254,134.671
8.600,27.213,0.015,-92.607,1.179,136.441
8.700,27.511,0.002,-93.689,1.075,138.576
8.800,27.839,-0.011,-94.877,0.936,140.444
